label,lon,lat,urban_elev_m,rural_ref_elev_m,reference_elevation_surplus_m,conventional_SUHI_C,elevation_matched_SUHI_C,reference_elevation_bias_C,correction_uncertainty_C,matched_ref_pixels,trust_flag
3705,118.78921254760228,32.05696559089379,17.718181388278605,32.84132282159415,15.123141433315542,1.8389478972253457,3.6907354965361634,-1.8517875993108175,0.04823044799333907,3968,ok
9994,103.79352729160316,1.421675592155987,21.93073407193469,29.538739804181915,7.608005732247225,3.285681472704521,4.333055397802255,-1.047373925097734,0.1319251538481109,3402,ok
6699,72.5861745803925,23.03235426741622,50.8805140660814,70.5275468089182,19.6470327428368,3.20342867997617,3.06337042879467,0.1400582511815002,0.46249661040508805,5737,ok
6163,46.73237892973788,24.684548054408083,621.9403383331157,630.7264398243213,8.786101491205613,1.2371937786969625,1.1011155039044382,0.1360782747925242,0.21655852519792484,4729,ok
1944,117.1939839578976,39.12133711564084,4.901359316180734,3.9966869376879504,-0.904672378492784,1.983317529166758,4.399890436845666,-2.4165729076789084,0.06257052963887993,4237,ok
4468,106.52074386395192,29.556222726306235,299.6886760399435,331.4935717007409,31.8048956607974,2.4612638493379286,6.974869337794623,-4.513605488456695,0.2875483324246291,2958,ok
10461,39.1889627209141,-6.819475933904494,67.7333497430476,4.698835062980652,-63.03451468006695,1.924898713289057,1.0925979661469398,0.8323007471421171,0.10179842143983978,3079,ok
4269,120.3123030580806,30.215618970693164,11.902887643445236,16.026313027350078,4.123425383904841,2.044180021910261,2.548179557989531,-0.5039995360792702,0.8249184837784546,1614,ok
10537,112.64933255388787,-7.427918019854396,28.39934703477477,180.7462849892505,152.34693795447575,1.8574632022152289,0.1396751207951325,1.7177880814200963,0.3481145906440447,1081,ok
7128,72.76648051547937,21.17141367800628,9.068872798862326,8.28903430248181,-0.7798384963805169,1.5676941395043436,2.433500781918582,-0.8658066424142383,0.43630675772637567,3360,ok
11369,-70.65302503935406,-33.47651884350454,597.6419226654779,2670.8254202316057,2073.183497566128,7.715795981136779,1.8169597582763368,5.898836222860442,0.7319574548176295,820,ok
7552,73.85234886406847,18.55631947999939,587.6526875743403,648.4353205362955,60.78263296195519,0.242110118458978,2.497843154986424,-2.255733036527446,0.576971586000364,3052,ok
3973,29.966356280090764,31.17846738557205,1.747412839335138,2.176722840542008,0.4293100012068698,1.3222297688427886,1.610885873081198,-0.2886561042384092,1.0725420016459715,1917,ok
4118,104.03054573676168,30.6728166849309,504.4860079337361,528.8475777063614,24.36156977262533,2.1849318816835748,3.864051214926331,-1.679119333242756,0.17160676197894884,2548,ok
1368,-87.85717105263171,41.84894494992593,202.7560858060293,202.0585339464949,-0.6975518595344283,3.300462924520282,4.2708526670080325,-0.9703897424877505,0.4543914960179197,2025,ok
3767,35.948754231607936,31.97834707389036,826.7523826629276,187.52849925780103,-639.2238834051266,-3.5905681157433555,-0.3600293148176483,-3.230538800925707,0.20562877456711123,1969,ok
3444,44.40464690848499,33.33295696246209,37.15677769390153,35.60101381336653,-1.5557638805350038,2.0142321238364858,1.3500767342838245,0.6641553895526613,0.20623736854584626,6016,ok
1395,123.39562971264172,41.79746266587133,48.94720988412016,20.96207984776696,-27.9851300363532,3.251296388322622,5.424746503301531,-2.173450114978909,0.23808333961796468,4632,ok
3186,108.8838428964903,34.274730082784416,412.7486040845105,903.0199878722664,490.2713837877559,5.992566340358053,4.095809811488664,1.896756528869389,0.38572231884710145,1409,ok
7920,32.5195179591524,15.605897572657998,389.4188796910863,405.1661838004804,15.747304109394063,-1.540469179702086,-1.397331554606808,-0.143137625095278,0.582154370631882,6194,ok
8666,75.9709007504434,11.130736079892,41.26150108649267,189.77007284981863,148.50857176332596,1.3257855534586724,1.8669159463506908,-0.5411303928920184,0.1679348934811885,610,ok
9110,38.75856296419402,8.991978977847802,2368.817664717797,2577.198977673389,208.381312955592,0.9857087256723992,-1.086895616485663,2.072604342158062,0.13039875652732286,796,ok
9711,-3.997264202671969,5.351801054655855,46.88260739691117,43.96889336946096,-2.913714027450212,2.8380457501078773,4.2453534414601855,-1.4073076913523082,0.047140289285504976,4617,ok
5327,-80.21679298748292,26.12344067311768,8.196366621385641,5.790066552573237,-2.406300068812404,2.3661367817890984,3.830023544709277,-1.4638867629201786,0.09427108829789406,2920,ok
10139,36.841510327213776,-1.2446313552756822,1690.3640004133017,1684.3943052094558,-5.969695203845959,-1.8525185545855187,-1.2799820060587097,-0.572536548526809,0.15196670204063548,1668,ok
7742,96.13945807993706,16.883782161267245,10.937857627168793,6.607062589310105,-4.330795037858688,-0.3461006066298218,0.3184799217362233,-0.6645805283660451,0.2526020968376103,6002,ok
1665,-3.7296546893058578,40.39450224835305,660.2523640189958,618.145926699063,-42.10643731993275,0.8620014344577953,0.931658450688154,-0.0696570162303586,0.6294969078278068,3489,ok
1152,-79.51458277598942,43.712123659292224,167.7030007371169,307.0753391320977,139.37233839498083,6.0887533046114655,7.113427809495192,-1.024674504883727,0.4766783409083288,1204,ok
9678,-0.2027463704580474,5.6329201824720805,40.289400263911205,25.734468327012173,-14.554931936899033,2.4915279933277503,3.166068757005302,-0.6745407636775518,0.759366771181173,2591,ok
2593,59.520867816708105,36.34415341066874,1071.6600266796047,1170.4090157343412,98.74898905473653,1.7786047410859709,2.5394858909865548,-0.7608811499005839,0.14795745774022895,1487,ok
7137,105.85333301791844,21.01975166292392,9.086543142474763,6.738871640575176,-2.347671501899588,0.969581709563613,1.0392563104372885,-0.0696746008736755,0.6196068926292199,1695,ok
3797,117.27511356836582,31.83650786359937,25.731757267011584,50.31733253007179,24.585575263060203,3.034381624213527,4.298517164037619,-1.2641355398240923,0.2548349723947347,5049,ok
3126,69.14088313190757,34.527543616549046,1868.057817623939,2432.252035944616,564.1942183206768,3.026117255833892,-0.7220166583120076,3.7481339141459,0.2893231577775701,996,ok
3923,73.0823246596574,31.420340875958736,183.2696581643725,184.5403562629365,1.2706980985640255,1.030835889800482,1.3585151006305018,-0.3276792108300199,0.06599324051114985,4584,ok
3036,113.6752047910604,34.75322893843163,109.54813438906588,280.38526791157886,170.837133522513,3.026662114958363,4.055085108830379,-1.0284229938720166,0.12348898119757827,2700,ok
6909,114.17097436405672,22.311132087783783,73.7156656136567,156.53604373824624,82.82037812458954,1.842418517341024,2.653309844521914,-0.81089132718089,0.26783819893758176,606,ok
5293,80.96160622749407,26.85450619041274,121.39551126509576,116.41556166291646,-4.979949602179303,1.4608970569903938,1.7193903723036748,-0.2584933153132809,0.07686517920247952,2531,ok
28,30.33108034343778,59.92366748840521,14.437146248387508,33.55246262156636,19.115316373178857,3.704638852718493,8.878042561400171,-5.173403708681679,0.04606316485679753,4709,ok
6859,91.81001721170956,22.406113393831173,10.237919559349884,47.99651207657813,37.75859251722824,0.5730512911189898,2.284200355128238,-1.7111490640092484,0.2591081220551483,2020,ok
2185,-122.13202548792236,37.556417438249056,40.510744466433934,124.1269849578115,83.61624049137757,5.974282426213794,3.5455817011008293,2.4287007251129644,1.1668029689197477,373,ok
9409,79.94640025846994,6.924760273409298,17.223615608291958,114.45192223995716,97.2283066316652,2.079836320741784,2.215847115314215,-0.1360107945724311,0.24824740436941495,446,ok
7041,39.222883434657966,21.50325374520684,40.10785541698509,150.28730829731583,110.17945288033074,-1.1194275440466654,0.0564268525294977,-1.1758543965761632,0.3860677538601892,2063,ok
976,126.64641740679602,45.71872102773872,142.86473488907436,133.09968006281562,-9.765054826258734,3.16048665350812,5.306240369086485,-2.1457537155783646,0.07138214848177624,6023,ok
